,date,team,formation,team_xGoals,team_xAssists,rolling_team_xGoals,rolling_team_xAssists
111,2020-11-07,benevento,,3.62,0.7399999999999998,3.072,0.29399999999999993
112,2020-11-08,milan,,3.0199999999999996,1.3799999999999997,-0.732,-1.21
113,2020-11-08,roma,,-3.6699999999999995,-1.8900000000000003,-1.7899999999999998,-1.332
114,2020-11-08,atalanta,,2.52,1.4399999999999997,2.4059999999999997,2.896
115,2020-11-08,bologna,,3.7799999999999994,0.27000000000000013,1.55,-0.6980000000000001
116,2020-11-08,genoa,,-0.17000000000000026,0.9899999999999998,0.4379999999999999,1.7719999999999998
117,2020-11-08,inter,,0.5599999999999999,-0.060000000000000095,-1.0439999999999998,0.658
118,2020-11-08,juventus,"['szczesny', 'cuadrado', 'chiellini', 'bonucci', 'danilo', 'mckennie', 'arthur', 'rabiot', 'chiesa', 'morata', 'ronaldo']",0.9899999999999998,1.2699999999999998,0.8724999999999999,-0.23500000000000001
119,2020-11-08,lazio,"['reina', 'luiz felipe', 'hoedt', 'acerbi', 'marusic', 'milinkovic-savic', 'leiva', 'pereira', 'fares', 'correa', 'immobile']",0.18999999999999995,-0.12999999999999998,-0.36,-0.388
120,2020-11-08,napoli,,2.6999999999999997,3.9499999999999997,3.34,2.8150000000000004
121,2020-11-08,verona,,-1.59,-0.30999999999999994,-1.044,-0.826
122,2020-11-08,crotone,,-1.23,-0.52,-1.146,-0.524
123,2020-11-08,torino,,1.4800000000000004,-0.06999999999999997,2.036,0.982
124,2020-11-21,atalanta,,-0.3200000000000004,2.7799999999999994,2.77,2.832
125,2020-11-21,cagliari,,4.87,3.12,2.294,1.8240000000000003
126,2020-11-21,juventus,,3.12,-0.7000000000000003,0.8959999999999999,0.06599999999999995
127,2020-11-21,lazio,,-0.8300000000000001,-0.30000000000000004,-0.426,-0.426
128,2020-11-21,crotone,,-1.73,-0.8500000000000001,-1.2739999999999998,-0.6199999999999999
129,2020-11-21,spezia,,2.13,4.03,0.728,1.7740000000000002
130,2020-11-22,milan,"['donnarumma', 'calabria', 'kjaer', 'romagnoli', 'hernandez', 'kessiè', 'bennacer', 'saelemaekers', 'calhanoglu', 'rebic', 'ibrahimovic']",-0.8800000000000003,-3.74,0.0339999999999999,-0.776
131,2020-11-22,fiorentina,,0.2999999999999995,0.9099999999999999,1.164,0.37200000000000005
132,2020-11-22,roma,,-1.1499999999999997,-2.1799999999999997,-2.1719999999999997,-1.55
133,2020-11-22,bologna,,2.5100000000000007,-0.7999999999999998,2.432,-0.532
134,2020-11-22,genoa,,0.96,-0.6100000000000001,0.1899999999999999,1.5079999999999998
135,2020-11-22,inter,,-0.40000000000000013,1.5599999999999996,-0.9419999999999998,0.5740000000000001
136,2020-11-22,parma,,1.53,0.61,0.12000000000000002,-0.10400000000000001
137,2020-11-22,napoli,,1.31,2.72,3.2119999999999997,3.0420000000000003
138,2020-11-22,udinese,,-1.7200000000000004,-2.2800000000000002,-3.9260000000000006,-1.7200000000000002
139,2020-11-22,verona,,-1.1900000000000002,-0.6999999999999997,-1.2040000000000002,-0.812
140,2020-11-22,sassuolo,,2.75,2.21,0.758,1.21
141,2020-11-22,sampdoria,,1.4699999999999998,0.6899999999999998,0.706,0.49399999999999994
142,2020-11-22,torino,,1.2000000000000004,1.29,2.374,1.06
143,2020-11-22,benevento,,0.9800000000000002,0.76,3.45,0.4739999999999999
144,2020-11-28,atalanta,,0.23999999999999966,4.9399999999999995,2.268,3.034
145,2020-11-28,inter,"['handanovic', 'skriniar', 'de vrij', 'bastoni', 'darmian', 'gagliardini', 'barella', 'perisic', 'vidal', 'lautaro martinez', 'sanchez']",-3.51,0.30000000000000004,-0.99,0.74
146,2020-11-28,juventus,"['szczesny', 'danilo', 'de ligt', 'bonucci', 'frabotta', 'chiesa', 'bentancur', 'rabiot', 'ramsey', 'dybala', 'morata']",-0.7900000000000004,0.4399999999999998,1.366,-0.23400000000000012
147,2020-11-28,verona,,-2.9299999999999997,-2.4000000000000004,-1.2420000000000002,-0.776
148,2020-11-28,sassuolo,"['consigli', 'toljan', 'chiriches', 'ferrari', 'rogerio', 'locatelli', 'lopez', 'berardi', 'djuricic', 'boga', 'raspadori']",3.9500000000000006,2.31,1.502,1.3439999999999999
149,2020-11-28,benevento,"['montipò', 'letizia', 'caldirola', 'glik', 'barba', 'hetemaj', 'schiattarella', 'improta', 'ionita', 'caprari', 'lapadula']",4.109999999999999,0.34999999999999987,3.214,0.696
150,2020-11-29,milan,"['donnarumma', 'calabria', 'kjaer', 'romagnoli', 'theo hernandez', 'kessie', 'tonali', 'saelemaekers', 'calhanoglu', 'brahim diaz', 'rebic']",-2.24,-3.42,0.1959999999999998,-1.392
151,2020-11-29,fiorentina,"['dragowski', 'caceres', 'milenkovic', 'pezzella biraghi', 'amrabat', 'pulgar', 'castrovilli', 'callejon', 'vlahovic', 'ribery']",1.2899999999999996,0.8900000000000003,1.3019999999999998,0.61
152,2020-11-29,roma,"['mirante', 'mancini', 'cristante', 'ibanez', 'karsdorp', 'veretout', 'pellegrini', 'spinazzola', 'pedro', 'mkhitaryan', 'dzeko']",-2.380000000000001,-1.88,-1.892,-1.5619999999999998
153,2020-11-29,bologna,,2.2800000000000002,-0.8200000000000001,2.37,-0.6819999999999999
154,2020-11-29,cagliari,,2.4199999999999995,2.63,3.4240000000000004,2.458
155,2020-11-29,lazio,,0.25999999999999995,0.2800000000000001,-0.524,-0.41000000000000003
156,2020-11-29,napoli,"['meret', 'di lorenzo', 'manolas', 'koulibaly', 'mario rui', 'demme', 'fabian ruiz', 'lozano', 'zielinski', 'insigne', 'mertens']",2.66,0.26,3.336,3.656
157,2020-11-29,udinese,,-1.1300000000000001,-1.4500000000000002,-3.9620000000000006,-1.9920000000000002
158,2020-11-29,crotone,,-1.42,-0.47,-1.46,-0.742
159,2020-11-29,spezia,,1.02,2.98,0.938,2.2600000000000002
160,2020-11-30,genoa,"['paleari', 'bani', 'zapata', 'masiello', 'ghiglione', 'lerager', 'badelj', 'rovella', 'pellegrini', 'scamacca', 'schomurodov']",-4.07,1.5799999999999998,0.1499999999999999,1.206
161,2020-11-30,parma,"['epe', 'iacoponi', 'bruno alves', 'osorio', 'gagliolo', 'kucka', 'scozzarella', 'kurtic', 'brunetta', 'gervinho', 'inglese']",0.10999999999999999,0.06000000000000006,0.49400000000000005,0.04800000000000002
